1550,1550,100,674
1600,1600,99,555
1490,1490,102,778
1490,1440,72,831
1490,1390,35,889
1490,1340,-7,937
1490,1290,-53,989
1490,1240,-102,1033
1490,1200,-147,1064
1490,1150,-194,1107
1440,1150,-152,1167
1390,1150,-111,1218
1340,1150,-74,1267
1290,1150,-26,1309
1350,1150,-89,1268
1400,1200,-74,1186
1450,1200,-61,1093
1500,1300,-53,995
1550,1350,-34,896
1600,1400,-23,783
1600,1370,-42,788
1600,1340,-66,807
1600,1310,-86,836
1600,1280,-111,870
1600,1250,-141,894
1600,1220,-171,924
1600,1190,-204,946
1600,1160,-232,973
1600,1130,-261,994
1550,1150,-202,1051
1550,1185,-164,1046
1550,1220,-121,1025
1550,1255,-85,995
1550,1290,-60,966
1550,1325,-28,929
1550,1360,-4,895
1550,1395,14,861
1550,1430,33,821
1550,1465,57,784
1550,1500,83,740
1550,1535,101,701
1550,1670,119,661
1508,1570,140,668
1466,1570,165,704
1433,1570,191,738
1400,1570,217,776
1357,1570,242,808
1334,1570,270,842
1301,1570,300,871
1268,1570,331,903
1235,1570,362,929
1202,1570,398,957
1169,1570,432,980
1136,1570,472,998
1136,1436,376,1163
1180,1436,325,1150
1224,1436,281,1116
1268,1436,243,1085
1312,1436,197,1044
1356,1436,158,1005
1400,1436,120,963
1444,1436,91,920
1488,1436,61,869
1532,1436,41,823
1571,1436,16,774
1576,1388,-17,792
1548,1388,4,830
1520,1388,20,865
1492,1388,35,1210
1464,1388,53,922
1436,1388,75,955
1402,1388,98,985
1380,1388,120,1013
1352,1388,142,1039
1324,1388,167,1066
1296,1388,187,1092
1268,1388,212,1117
1240,1388,240,1140
1212,1388,268,1160
1184,1388,297,1182
1156,1388,330,1199
1156,1634,478,930
1211,1634,403,889
1266,1634,349,848
1321,1634,295,794
1566,1566,102,630
1610,1613,103,521
1632,1635,103,477
1606,1635,116,477
1554,1635,140,510
1526,1635,156,549
1499,1635,171,574
1478,1635,185,600
1449,1635,205,638
1547,1603,126,598
1547,1580,116,605
1547,1557,108,633
1547,1534,96,657
1547,1511,83,685
1547,1488,71,708
1547,1365,-17,861
1614,1465,19,699
1646,1488,22,634
1646,1599,83,500
1670,1402,-44,700
1670,1448,-13,651
1670,1471,4,623
1670,1535,41,549
1670,1496,24,560
1670,1469,7,583
1670,1442,-10,615
1670,1367,-63,703
1642,1416,-22,709
1500,1500,105,761
